"dc (V)","I8:2 (Vcas=5.00e-01) (A)","I8:2 (Vcas=6.67e-01) (A)","I8:2 (Vcas=8.33e-01) (A)","I8:2 (Vcas=1.00e+00) (A)","I8:2 (Vcas=1.10e+00) (A)","I8:2 (Vcas=1.17e+00) (A)","I8:2 (Vcas=1.33e+00) (A)","I8:2 (Vcas=1.50e+00) (A)","I8:2 (Vcas=1.67e+00) (A)","I8:2 (Vcas=1.83e+00) (A)","I8:2 (Vcas=2.00e+00) (A)"
0.00000,-2.529E-30,20.88E-33,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
66.0E-3,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6,4.557E-6
132.0E-3,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6,7.271E-6
198.0E-3,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6,8.514E-6
264.0E-3,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6,8.995E-6
330.0E-3,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6,9.233E-6
396.0E-3,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6,9.394E-6
462.0E-3,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6,9.523E-6
528.0E-3,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6,9.634E-6
594.0E-3,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6,9.735E-6
